Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
19:33:03 Jul 16 2025,90,117,15,0,0
19:33:05 Jul 16 2025,90,117,40,0,0
19:33:07 Jul 16 2025,90,117,27,0,0
19:33:09 Jul 16 2025,90,117,15,0,0
19:33:11 Jul 16 2025,90,117,28,0,0
19:33:13 Jul 16 2025,90,117,11,0,0
19:33:15 Jul 16 2025,92,117,11,0,0
19:33:17 Jul 16 2025,93,117,18,0,0
19:33:19 Jul 16 2025,93,117,23,0,0
19:33:21 Jul 16 2025,94,117,30,0,0
19:33:23 Jul 16 2025,94,117,25,0,0
19:33:25 Jul 16 2025,94,117,23,0,0
19:33:27 Jul 16 2025,93,116,32,0,0
19:33:29 Jul 16 2025,93,116,38,0,0
19:33:31 Jul 16 2025,93,117,27,0,0
19:33:33 Jul 16 2025,93,117,13,0,0
19:33:35 Jul 16 2025,93,116,22,0,0
19:33:37 Jul 16 2025,93,115,21,0,0
19:33:39 Jul 16 2025,93,116,18,0,0
19:33:41 Jul 16 2025,93,116,22,0,0
19:33:43 Jul 16 2025,93,115,23,0,0
19:33:45 Jul 16 2025,93,116,12,0,0
19:33:47 Jul 16 2025,93,117,15,0,0
19:33:49 Jul 16 2025,93,117,27,0,0
19:33:51 Jul 16 2025,93,117,28,0,0
19:33:53 Jul 16 2025,93,117,23,0,0
19:33:55 Jul 16 2025,94,116,33,0,0
19:33:57 Jul 16 2025,95,116,27,0,0
19:33:59 Jul 16 2025,95,116,25,0,0
19:34:01 Jul 16 2025,96,116,29,0,0
19:34:03 Jul 16 2025,96,116,36,0,0
19:34:05 Jul 16 2025,96,116,24,0,0
19:34:07 Jul 16 2025,96,116,29,0,0
19:34:09 Jul 16 2025,96,116,25,0,0
19:34:11 Jul 16 2025,96,116,54,0,0
19:34:13 Jul 16 2025,97,116,33,0,0
19:34:15 Jul 16 2025,97,116,23,0,0
19:34:17 Jul 16 2025,97,116,29,0,0
19:34:19 Jul 16 2025,97,116,31,0,0
19:34:21 Jul 16 2025,97,117,30,0,0
19:34:23 Jul 16 2025,97,118,29,0,0
19:34:25 Jul 16 2025,97,116,25,0,0
19:34:27 Jul 16 2025,97,117,18,0,0
19:34:29 Jul 16 2025,97,118,33,0,0
19:34:31 Jul 16 2025,97,117,22,0,0
19:34:33 Jul 16 2025,97,117,29,0,0
19:34:35 Jul 16 2025,97,117,33,0,0
19:34:37 Jul 16 2025,97,117,32,0,0
19:34:39 Jul 16 2025,97,117,37,0,0
19:34:41 Jul 16 2025,98,116,38,0,0
19:34:43 Jul 16 2025,98,116,29,0,0
19:34:45 Jul 16 2025,98,116,39,0,0
19:34:47 Jul 16 2025,98,117,37,0,0
19:34:49 Jul 16 2025,98,116,30,0,0
19:34:51 Jul 16 2025,98,117,28,0,0
19:34:53 Jul 16 2025,98,118,35,0,0
19:34:55 Jul 16 2025,98,119,22,0,0
19:34:57 Jul 16 2025,97,119,30,0,0
19:34:59 Jul 16 2025,97,119,37,0,0
19:35:01 Jul 16 2025,97,118,27,0,0
19:35:03 Jul 16 2025,97,117,30,0,0
19:35:05 Jul 16 2025,97,117,38,0,0
19:35:07 Jul 16 2025,97,117,53,0,0
19:35:09 Jul 16 2025,97,117,27,0,0
19:35:11 Jul 16 2025,97,118,25,0,0
19:35:13 Jul 16 2025,97,117,25,0,0
19:35:15 Jul 16 2025,97,118,29,0,0
19:35:17 Jul 16 2025,97,118,25,0,0
19:35:19 Jul 16 2025,97,117,24,0,0
19:35:21 Jul 16 2025,97,117,29,0,0
19:35:23 Jul 16 2025,97,117,21,0,0
19:35:25 Jul 16 2025,97,117,20,0,0
19:35:27 Jul 16 2025,97,118,28,0,0
19:35:29 Jul 16 2025,97,117,47,0,0
19:35:31 Jul 16 2025,98,118,30,0,0
19:35:33 Jul 16 2025,98,118,41,0,0
19:35:35 Jul 16 2025,98,119,24,0,0
19:35:37 Jul 16 2025,98,119,35,0,0
19:35:39 Jul 16 2025,98,119,45,0,0
19:35:41 Jul 16 2025,97,119,32,0,0
19:35:43 Jul 16 2025,97,119,26,0,0
19:35:45 Jul 16 2025,97,119,36,0,0
19:35:47 Jul 16 2025,97,119,31,0,0
19:35:49 Jul 16 2025,97,119,35,0,0
19:35:51 Jul 16 2025,97,119,28,0,0
19:35:53 Jul 16 2025,97,119,33,0,0
19:35:55 Jul 16 2025,97,118,31,0,0
19:35:57 Jul 16 2025,98,118,31,0,0
19:35:59 Jul 16 2025,98,118,29,0,0
19:36:01 Jul 16 2025,98,118,25,0,0
19:36:03 Jul 16 2025,98,117,31,0,0
19:36:05 Jul 16 2025,98,118,29,0,0
19:36:07 Jul 16 2025,98,118,35,0,0
19:36:09 Jul 16 2025,98,117,28,0,0
19:36:11 Jul 16 2025,98,118,40,0,0
19:36:13 Jul 16 2025,98,117,27,0,0
19:36:15 Jul 16 2025,98,117,27,0,0
19:36:17 Jul 16 2025,98,117,33,0,0
19:36:19 Jul 16 2025,98,117,40,0,0
19:36:21 Jul 16 2025,98,116,26,0,0
19:36:23 Jul 16 2025,98,114,33,0,0
19:36:25 Jul 16 2025,98,114,25,0,0
19:36:27 Jul 16 2025,98,115,30,0,0
19:36:29 Jul 16 2025,98,116,33,0,0
19:36:31 Jul 16 2025,98,118,31,0,0
19:36:33 Jul 16 2025,98,119,24,0,0
19:36:35 Jul 16 2025,98,119,25,0,0
19:36:37 Jul 16 2025,98,118,37,0,0
19:36:39 Jul 16 2025,98,117,26,0,0
19:36:41 Jul 16 2025,98,117,17,0,0
19:36:43 Jul 16 2025,98,117,22,0,0
19:36:45 Jul 16 2025,98,117,22,0,0
19:36:47 Jul 16 2025,98,117,28,0,0
19:36:49 Jul 16 2025,98,117,8,0,0
19:36:51 Jul 16 2025,98,118,24,0,0
19:36:53 Jul 16 2025,97,117,24,0,0
19:36:55 Jul 16 2025,97,118,28,0,0
19:36:57 Jul 16 2025,98,116,24,0,0
19:36:59 Jul 16 2025,98,116,30,0,0
19:37:01 Jul 16 2025,98,116,25,0,0
19:37:03 Jul 16 2025,98,116,32,0,0
19:37:05 Jul 16 2025,98,115,25,0,0
19:37:07 Jul 16 2025,98,117,24,0,0
19:37:09 Jul 16 2025,98,117,31,0,0
19:37:11 Jul 16 2025,98,117,30,0,0
19:37:13 Jul 16 2025,97,118,27,0,0
19:37:15 Jul 16 2025,97,118,43,0,0
19:37:17 Jul 16 2025,97,118,39,0,0
19:37:19 Jul 16 2025,98,118,38,0,0
19:37:21 Jul 16 2025,98,118,42,0,0
19:37:23 Jul 16 2025,98,118,23,0,0
19:37:25 Jul 16 2025,98,119,27,0,0
19:37:27 Jul 16 2025,98,119,24,0,0
19:37:29 Jul 16 2025,98,120,21,0,0
19:37:31 Jul 16 2025,98,121,23,0,0
19:37:33 Jul 16 2025,98,121,40,0,0
19:37:35 Jul 16 2025,98,120,27,0,0
19:37:37 Jul 16 2025,98,120,25,0,0
19:37:39 Jul 16 2025,98,120,29,0,0
19:37:41 Jul 16 2025,98,120,23,0,0
19:37:43 Jul 16 2025,98,119,45,0,0
19:37:45 Jul 16 2025,98,120,35,0,0
19:37:47 Jul 16 2025,98,118,42,0,0
19:37:49 Jul 16 2025,98,118,34,0,0
19:37:51 Jul 16 2025,98,117,38,0,0
19:37:53 Jul 16 2025,98,117,43,0,0
19:37:55 Jul 16 2025,98,119,23,0,0
19:37:57 Jul 16 2025,98,120,28,0,0
19:37:59 Jul 16 2025,98,119,28,0,0
19:38:01 Jul 16 2025,98,116,41,0,0
19:38:03 Jul 16 2025,98,117,52,0,0
19:38:05 Jul 16 2025,98,117,30,0,0
19:38:07 Jul 16 2025,98,117,43,0,0
19:38:09 Jul 16 2025,98,122,38,0,0
19:38:11 Jul 16 2025,98,125,51,0,0
19:38:13 Jul 16 2025,98,125,38,0,0
19:38:15 Jul 16 2025,98,125,39,0,0
19:38:17 Jul 16 2025,98,124,40,0,0
19:38:19 Jul 16 2025,98,123,40,0,0
19:38:21 Jul 16 2025,98,122,38,0,0
19:38:23 Jul 16 2025,98,121,30,0,0
19:38:25 Jul 16 2025,98,121,30,0,0
19:38:27 Jul 16 2025,98,120,36,0,0
19:38:29 Jul 16 2025,98,121,45,0,0
19:38:31 Jul 16 2025,98,122,41,0,0
19:38:33 Jul 16 2025,98,122,35,0,0
19:38:35 Jul 16 2025,99,122,40,0,0
19:38:37 Jul 16 2025,99,123,41,0,0
19:38:39 Jul 16 2025,99,123,34,0,0
19:38:41 Jul 16 2025,99,123,36,0,0
19:38:43 Jul 16 2025,99,123,32,0,0
19:38:45 Jul 16 2025,99,122,45,0,0
19:38:47 Jul 16 2025,99,122,31,0,0
19:38:49 Jul 16 2025,99,122,26,0,0
19:38:51 Jul 16 2025,99,121,38,0,0
19:38:53 Jul 16 2025,99,122,20,0,0
19:38:55 Jul 16 2025,99,121,29,0,0
19:38:57 Jul 16 2025,99,122,20,0,0
19:38:59 Jul 16 2025,99,122,24,0,0
19:39:01 Jul 16 2025,99,122,13,0,0
